date,latitude,longitude,sst
2018-01,-46,178,14.948112
2018-01,-46,180,15.078933
2018-01,-46,182,15.328066
2018-01,-46,184,15.551689
2018-01,-46,186,15.637531
2018-01,-46,188,15.534913
2018-01,-46,190,15.326922
2018-01,-46,192,15.117072
2018-01,-46,194,14.909297
2018-01,-46,196,14.693792
2018-01,-46,198,14.498407
2018-01,-46,200,14.307581
2018-01,-46,202,14.103381
2018-01,-46,204,13.913074
2018-01,-46,206,13.747509
2018-01,-46,208,13.585493
2018-01,-46,210,13.411558
2018-01,-46,212,13.210606
2018-01,-46,214,12.981238
2018-01,-46,216,12.742525
2018-01,-46,218,12.555972
2018-01,-46,220,12.325838
2018-01,-46,222,12.0833025
2018-01,-46,224,11.88838
2018-01,-46,226,11.744408
2018-01,-46,228,11.675526
2018-01,-46,230,11.636744
2018-01,-46,232,11.61314
2018-01,-46,234,11.599464
2018-01,-46,236,11.601439
2018-01,-46,238,11.609598
2018-01,-46,240,11.652496
2018-01,-46,242,11.728201
2018-01,-46,244,11.83479
2018-01,-46,246,11.927737
2018-01,-46,248,11.991986
2018-01,-46,250,11.982926
2018-01,-46,252,11.946279
2018-01,-46,254,11.905979
2018-01,-46,256,11.857674
2018-01,-46,258,11.829983
2018-01,-46,260,11.825285
2018-01,-46,262,11.833249
2018-01,-46,264,11.826317
2018-01,-46,266,11.804072
2018-01,-46,268,11.793232
2018-01,-46,270,11.772217
2018-01,-46,272,11.773418
2018-01,-46,274,11.810613
2018-01,-46,276,11.876415
2018-01,-46,278,12.02105
2018-01,-46,280,12.315572
2018-01,-46,282,12.713086
2018-01,-46,284,13.08362
2018-01,-46,286,13.329015
2018-01,-46,288,
2018-01,-46,290,
2018-01,-46,292,
2018-01,-46,294,15.191732
2018-01,-46,296,15.373324
2018-01,-46,298,14.591794
2018-01,-46,300,13.5254135
2018-01,-46,302,13.24514
2018-01,-46,304,13.992509
2018-01,-46,306,14.89132
2018-01,-46,308,15.126272
2018-01,-46,310,14.927489
2018-01,-46,312,14.558254
2018-01,-46,314,14.072381
2018-01,-44,100,11.977651
2018-01,-44,102,11.903444
2018-01,-44,104,11.750356
2018-01,-44,106,11.640271
2018-01,-44,108,11.722917
2018-01,-44,110,11.847885
2018-01,-44,112,11.922775
2018-01,-44,114,11.963989
2018-01,-44,116,12.023276
2018-01,-44,118,12.075708
2018-01,-44,120,12.171188
2018-01,-44,122,12.253451
2018-01,-44,124,12.317362
2018-01,-44,126,12.441548
2018-01,-44,128,12.588241
2018-01,-44,130,12.779026
2018-01,-44,132,13.016323
2018-01,-44,134,13.385057
2018-01,-44,136,13.773061
2018-01,-44,138,14.222309
2018-01,-44,140,14.66041
2018-01,-44,142,15.114996
2018-01,-44,144,15.598679
2018-01,-44,146,15.9884815
2018-01,-44,148,16.47473
2018-01,-44,150,16.787102
